date,capital,trade_pnl,peak,drawdown,drawdown_pct
2026-03-05,40870.8489975899,-4447.654955728548,54393.65743734177,-13522.808439751869,-24.861002324267922
2026-05-20,39540.51517981946,-1330.333817770439,54393.65743734177,-14853.142257522311,-27.306754054242887
2026-06-10,39138.79831118101,-401.7168686384437,54393.65743734177,-15254.859126160758,-28.045290287260865
2026-07-01,40613.766385700685,1474.9680745196756,54393.65743734177,-13779.891051641083,-25.333635759858016
2026-07-21,43103.523389512186,2489.757003811499,54393.65743734177,-11290.134047829582,-20.756342889490636
2026-08-10,42932.97507456792,-170.54831494426708,54393.65743734177,-11460.682362773849,-21.06988737790958
2026-08-19,39724.06447104852,-3208.9106035193963,54393.65743734177,-14669.592966293247,-26.969307925637725
2022-11-21,39956.278224577145,232.21375352862026,54393.65743734177,-14437.379212764623,-26.54239463377806
2022-11-30,39486.86452347148,-469.4137011056681,54393.65743734177,-14906.79291387029,-27.405388084156723
2022-12-15,41198.635968106,1711.7714446345192,54393.65743734177,-13195.02146923577,-24.258382485927964
2023-05-16,40584.68697335449,-613.9489947515136,54393.65743734177,-13808.97046398728,-25.387096795052592
2023-06-05,39579.09621644051,-1005.5907569139794,54393.65743734177,-14814.561220901262,-27.235824761309253
2023-06-14,40066.56631888026,487.4701024397504,54393.65743734177,-14327.09111846151,-26.339635526376327
2023-07-05,40118.8515528823,52.285234002038976,54393.65743734177,-14274.80588445947,-26.243511756684484
2023-07-25,41530.524199933694,1411.6726470513968,54393.65743734177,-12863.133237408074,-23.64822268520118
2023-08-14,39686.05659408388,-1844.4676058498167,54393.65743734177,-14707.60084325789,-27.039183493406675
2023-09-04,40074.541041741104,388.4844476572286,54393.65743734177,-14319.116395600664,-26.324974399994023
2023-09-13,40271.30222948317,196.76118774206046,54393.65743734177,-14122.3552078586,-25.963238864984778
2023-10-05,41585.90505382036,1314.6028243371936,54393.65743734177,-12807.752383521409,-23.54640777424311
2023-10-16,42656.456958126575,1070.5519043062168,54393.65743734177,-11737.200479215193,-21.57825200987035
2023-10-23,40322.956280627186,-2333.5006774993926,54393.65743734177,-14070.701156714582,-25.868275493191806
2023-11-06,40168.58855070656,-154.36772992062572,54393.65743734177,-14225.068886635207,-26.152072790879398
2023-11-16,39973.73919182555,-194.84935888101205,54393.65743734177,-14419.918245516215,-26.51029352480498
2023-11-28,39549.941763528004,-423.7974282975466,54393.65743734177,-14843.715673813764,-27.289423754806037
2024-01-17,39313.945217822016,-235.99654570598972,54393.65743734177,-15079.712219519752,-27.723291519586958
2024-02-28,36899.8654168143,-2414.079801007721,54393.65743734177,-17493.79202052747,-32.16145566361164
2024-03-20,34528.403068944026,-2371.462347870268,54393.65743734177,-19865.254368397742,-36.52126976620633
2024-04-23,35916.9788061316,1388.575737187573,54393.65743734177,-18476.67863121017,-33.968443200375326
2024-05-15,37080.74552024253,1163.7667141109346,54393.65743734177,-17312.911917099234,-31.828916702361248
2024-06-03,39066.25159131611,1985.5060710735768,54393.65743734177,-15327.405846025657,-28.178663778367742
2024-07-16,40779.094364083285,1712.8427727671726,54393.65743734177,-13614.563073258483,-25.029688597317882
2024-08-06,38994.79634951247,-1784.2980145708148,54393.65743734177,-15398.861087829297,-28.310030642024508
2024-08-27,40266.81135639742,1272.0150068849484,54393.65743734177,-14126.84608094435,-25.97149510899801
2024-09-16,39447.04205349301,-819.7693029044094,54393.65743734177,-14946.615383848759,-27.478599689800898
2024-09-25,39672.77573349975,225.73368000674236,54393.65743734177,-14720.881703842017,-27.06359968678258
2025-02-25,37501.674948189044,-2171.1007853107108,54393.65743734177,-16891.982489152724,-31.055059146576557
2025-03-19,38627.79311786037,1126.1181696713222,54393.65743734177,-15765.8643194814,-28.98474760157971
2025-06-23,39972.03012928058,1344.2370114202158,54393.65743734177,-14421.627308061186,-26.513435550227594
2025-07-02,41917.34886794442,1945.3187386638388,54393.65743734177,-12476.308569397348,-22.93706501308412
2025-07-21,43203.89356311149,1286.5446951670672,54393.65743734177,-11189.76387423028,-20.571817379848408
2025-08-11,44987.48273185305,1783.5891687415665,54393.65743734177,-9406.174705488716,-17.292778512502245
2025-08-21,45285.123854636564,297.6411227835115,54393.65743734177,-9108.533582705204,-16.745580297110354
2025-09-02,44161.51216883262,-1123.6116858039495,54393.65743734177,-10232.14526850915,-18.811283797740515
2025-09-22,45122.15648428469,960.6443154520732,54393.65743734177,-9271.500953057075,-17.045187600663347
2025-10-01,46212.30345015335,1090.1469658686524,54393.65743734177,-8181.35398718842,-15.041007302391552
2025-10-13,47652.69620555427,1440.3927554009183,54393.65743734177,-6740.9612317875,-12.392917758017436
2025-10-23,47561.09996869178,-91.59623686249006,54393.65743734177,-6832.5574686499895,-12.561312826813836
2025-11-24,48639.66821689938,1078.5682482075983,54393.65743734177,-5753.989220442389,-10.578419417871723
2025-12-03,49368.28365997759,728.615443078211,54393.65743734177,-5025.373777364177,-9.238896617961581
2025-12-23,50185.53278547131,817.249125493719,54393.65743734177,-4208.1246518704575,-7.7364252564151705
2026-01-13,52670.062470145014,2484.5296846737065,54393.65743734177,-1723.5949671967537,-3.168742549041185
2026-02-03,56476.127797889356,3806.06532774434,56476.127797889356,0.0,0.0
2021-11-03,55103.59345444947,-1372.5343434398906,56476.127797889356,-1372.5343434398892,-2.4302911636430995
2021-11-15,56398.68876132086,1295.095306871391,56476.127797889356,-77.4390365684958,-0.13711817645435292
2021-11-25,55077.3967846545,-1321.29197666636,56476.127797889356,-1398.7310132348575,-2.476676549498019
2022-08-29,53124.9668465567,-1952.4299380977993,56476.127797889356,-3351.160951332655,-5.933765436832756
2022-11-21,55209.50941983148,2084.542573274773,56476.127797889356,-1266.6183780578795,-2.242750038725594
2022-11-30,54772.4256842402,-437.08373559127153,56476.127797889356,-1703.702113649153,-3.0166765677458933
2022-12-20,53281.866334593324,-1490.5593496468805,56476.127797889356,-3194.261463296032,-5.655949846149702
2023-01-09,55180.241769470966,1898.375434877642,56476.127797889356,-1295.8860284183902,-2.294573085916879
2023-01-18,54719.81967196067,-460.4220975102942,56476.127797889356,-1756.3081259286846,-3.109823910403294
2023-02-08,54293.41471574953,-426.404956211141,56476.127797889356,-2182.713082139824,-3.8648419557925098
2023-02-28,50977.17373621185,-3316.240979537683,56476.127797889356,-5498.954061677505,-9.7367760080092
2023-04-13,49783.45681349045,-1193.716922721402,56476.127797889356,-6692.670984398908,-11.850442382221942
2023-04-25,51258.1852282331,1474.7284147426558,56476.127797889356,-5217.942569656254,-9.23920030128422
2023-05-16,52743.70222020071,1485.5169919676075,56476.127797889356,-3732.4255776886494,-6.608855322103261
2023-06-05,52389.74662089538,-353.95559930532954,56476.127797889356,-4086.3811769939784,-7.235590215423191
2023-06-14,53392.94029410722,1003.1936732118379,56476.127797889356,-3083.1875037821374,-5.459275669210033
2023-07-05,54700.59619144176,1307.655897334535,56476.127797889356,-1775.5316064475992,-3.1438621514592486
2023-08-14,56006.49121003468,1305.8950185929177,56476.127797889356,-469.6365878546785,-0.8315665506235892
2023-09-04,56335.64073781987,329.14952778519137,56476.127797889356,-140.48706006948487,-0.24875476692071513
2023-09-13,56510.681377073,175.04063925312948,56510.681377073,0.0,0.0
2023-10-05,58881.58002276895,2370.8986456959465,58881.58002276895,0.0,0.0
2023-10-16,58591.724931585726,-289.8550911832217,58881.58002276895,-289.8550911832208,-0.4922678553651865
2023-10-26,56205.97622253472,-2385.7487090510003,58881.58002276895,-2675.6038002342248,-4.544042125227608
2023-11-06,56199.88376395312,-6.092458581601363,58881.58002276895,-2681.6962588158276,-4.55438909380292
2023-11-16,56394.2467035444,194.36293959128307,58881.58002276895,-2487.333319224548,-4.22429785046991
2023-11-28,55485.726910503174,-908.5197930412227,58881.58002276895,-3395.8531122657732,-5.767258811588665
2023-12-28,55247.63569489235,-238.09121561082407,58881.58002276895,-3633.9443278765975,-6.171614835185105
2024-01-09,56151.490228875715,903.8545339833632,58881.58002276895,-2730.089793893232,-4.636576995450075
2024-01-31,56798.11290998375,646.6226811080321,58881.58002276895,-2083.467112785198,-3.538402182787115
