date,capital,trade_pnl,peak,drawdown,drawdown_pct
2021-10-28,47905.12070039413,-2094.8792996058673,47905.12070039413,0.0,0.0
2021-11-11,48806.53427816706,901.4135777729336,48806.53427816706,0.0,0.0
2021-11-22,45971.45264420571,-2835.0816339613543,48806.53427816706,-2835.081633961352,-5.808815716770915
2022-08-25,46363.159937507524,391.70729330181473,48806.53427816706,-2443.3743406595386,-5.006244300678708
2022-09-15,47438.87184154275,1075.711904035225,48806.53427816706,-1367.6624366243122,-2.802211746545006
2022-11-30,47105.296281925206,-333.575559617546,48806.53427816706,-1701.2379962418563,-3.4856767057989653
2022-12-15,45470.462170073726,-1634.8341118514775,48806.53427816706,-3336.0721080933363,-6.83529809570126
2023-01-04,46171.75568461691,701.2935145431846,48806.53427816706,-2634.7785935501524,-5.398413619237014
2023-01-17,47228.27075741179,1056.515072794879,48806.53427816706,-1578.263520755274,-3.233713567450104
2023-02-06,48414.373055527794,1186.1022981160063,48806.53427816706,-392.1612226392681,-0.8035014746267204
2023-02-22,45894.822596609185,-2519.5504589186066,48806.53427816706,-2911.7116815578775,-5.965823479624515
2023-04-11,46470.25229409975,575.4296974905699,48806.53427816706,-2336.281984067311,-4.78682213072526
2023-04-21,46800.3169472456,330.064653145849,48806.53427816706,-2006.2173309214631,-4.110550688740292
2023-05-12,47313.637535899856,513.3205886542569,48806.53427816706,-1492.8967422672067,-3.0588050644174376
2023-06-01,47716.57395845569,402.93642255583393,48806.53427816706,-1089.9603197113756,-2.233226218233968
2023-06-09,46039.857857109346,-1676.7161013463412,48806.53427816706,-2766.6764210577167,-5.668659866913254
2023-07-04,46272.03234732475,232.17449021540588,48806.53427816706,-2534.5019308423143,-5.192956165248736
2023-08-10,47010.93577191683,738.9034245920833,48806.53427816706,-1795.5985062502295,-3.679012519136123
2023-08-31,46889.87948093791,-121.05629097892319,48806.53427816706,-1916.6547972291519,-3.927045477774359
2023-09-12,46701.970976494864,-187.90850444304894,48806.53427816706,-2104.5633016721986,-4.312052336429973
2023-09-28,47332.48855948157,630.5175829867096,48806.53427816706,-1474.045718685491,-3.020181089450732
2023-10-16,47108.55343443152,-223.93512505005688,48806.53427816706,-1697.980843735546,-3.479003106547384
2023-10-23,44631.45379754395,-2477.0996368875662,48806.53427816706,-4175.08048062311,-8.554347368382548
2023-11-02,45489.5130320778,858.0592345338459,48806.53427816706,-3317.0212460892653,-6.796264670595735
2023-11-13,46147.070600138424,657.5575680606291,48806.53427816706,-2659.4636780286382,-5.448991036469297
2023-11-22,45886.6277858098,-260.44281432862704,48806.53427816706,-2919.906492357266,-5.982613876485482
2023-12-28,45585.05677946847,-301.5710063413252,48806.53427816706,-3221.477498698594,-6.600504515108908
2024-01-03,41610.80971882644,-3974.2470606420325,48806.53427816706,-7195.724559340626,-14.743363088084571
2024-01-17,45217.362614543476,3606.5528957170386,48806.53427816706,-3589.171663623587,-7.353875288844581
2024-02-28,45285.59943268233,68.23681813885543,48806.53427816706,-3520.934845484735,-7.214064464027673
2024-03-15,46081.98049674872,796.3810640663922,48806.53427816706,-2724.553781418341,-5.582354538615811
2024-04-19,46875.61246680352,793.6319700547955,48806.53427816706,-1930.9218113635434,-3.9562772483669564
2024-05-09,43845.65546371138,-3029.9570030921395,48806.53427816706,-4960.878814455682,-10.16437427452181
2024-05-31,44732.45728744266,886.8018237312767,48806.53427816706,-4074.076990724403,-8.347400713815661
2024-07-10,45241.56372029654,509.1064328538813,48806.53427816706,-3564.970557870525,-7.304289498517551
2024-08-02,46860.35211099242,1618.7883906958832,48806.53427816706,-1946.1821671746438,-3.987544282662254
2024-09-16,46786.780047632674,-73.57206335974666,48806.53427816706,-2019.7542305343886,-4.13828652332296
2024-09-23,46554.69144254721,-232.0886050854611,48806.53427816706,-2251.842835619849,-4.613814254431051
2024-10-15,47201.50715494189,646.8157123946781,48806.53427816706,-1605.027123225169,-3.2885496726268393
2024-10-31,42425.43947807837,-4776.067676863522,48806.53427816706,-6381.094800088693,-13.074263301959526
