index,entry_date,exit_date,strike,entry_spot,exit_spot,entry_vix,exit_vix,weekly_premium,monthly_premium,net_debit,lots,total_cost,pnl,pnl_pct,exit_reason,days_held,capital_after,year
NIFTY,2021-10-27,2021-11-03,18200,18210.94921875,17829.19921875,10.303051281893568,13.410121200130993,103.93480938867143,215.16549712780358,111.23068773913215,1,5561.534386956608,-1074.0543586580166,-19.31219487156246,EXPIRY,5,48925.94564134198,2021
NIFTY,2021-11-08,2021-11-15,18050,18068.55078125,18109.44921875,12.998816016005618,13.023525568382215,130.10371467927848,269.3402779280231,139.23656324874463,1,6961.828162437231,1891.402766768263,27.168190921077134,EXPIRY,5,50817.34840811024,2021
NIFTY,2021-11-17,2021-11-25,17900,17898.650390625,17536.25,12.86569419419279,14.473790045675491,127.56046351956137,264.0752478257882,136.51478430622683,1,6825.7392153113415,-2061.901210376685,-30.20773494761528,EXPIRY,5,48755.447197733556,2021
NIFTY,2022-08-22,2022-08-29,17500,17490.69921875,17312.900390625,12.939757524270009,11.967691641014817,125.37065325391404,259.5419098883356,134.17125663442158,1,6708.562831721079,-2819.7395418613864,-42.03194652256068,EXPIRY,5,45935.70765587217,2022
NIFTY,2022-09-12,2022-09-19,17950,17936.349609375,17622.25,14.973601384694515,16.286012893022818,148.77258428132615,307.9885097607026,159.21592547937644,1,7960.796273968822,-2574.2037942237084,-32.33600893218625,EXPIRY,5,43361.50386164846,2022
NIFTY,2022-11-23,2022-11-30,18250,18267.25,18758.349609375,10.060130400054103,9.682880592161675,101.79802720047368,210.7419377401292,108.94391053965552,1,5447.195526982776,-333.575559617546,-6.12380367044241,EXPIRY,5,43027.928302030916,2022
NIFTY,2022-12-13,2022-12-19,18600,18608.0,18420.44921875,7.897929831867427,9.611404252748194,81.4095862412743,168.5338549962437,87.12426875496939,1,4356.21343774847,1884.1474238694602,43.25195380792203,TARGET,4,44912.07572590037,2022
NIFTY,2023-01-02,2023-01-09,18200,18197.44921875,18101.19921875,11.864322316611464,13.429202916916195,119.59582852857916,247.5868869257588,127.99105839717963,1,6399.552919858981,2725.2935927889503,42.585687264681674,TARGET,5,47637.36931868932,2023
NIFTY,2023-01-11,2023-01-18,17900,17895.69921875,18165.349609375,13.436373437469019,12.607713421150466,133.19665442841253,275.7432715220183,142.54661709360576,1,7127.330854680288,-679.5638374217149,-9.534618937683623,EXPIRY,5,46957.805481267606,2023
NIFTY,2023-02-01,2023-02-08,17600,17616.30078125,17871.69921875,11.806916795868656,11.17745347746809,115.21626665495091,238.5203324837596,123.30406582880869,1,6165.203291440434,-541.2984366927844,-8.779895992145228,EXPIRY,5,46416.50704457482,2023
NIFTY,2023-02-21,2023-02-28,17850,17826.69921875,17303.94921875,10.929713546053016,10.048487411803096,107.93002950965632,223.43638855025335,115.50635904059703,1,5775.317952029852,-2511.8157298103247,-43.49225013537993,EXPIRY,5,43904.691314764495,2023
NIFTY,2023-04-05,2023-04-13,17550,17557.05078125,17828.0,12.42097980189895,9.603086496237927,120.80085272282679,250.08152400963246,129.28067128680567,1,6464.033564340283,-1644.0815660122807,-25.434298099596504,EXPIRY,5,42260.60974875221,2023
NIFTY,2023-04-18,2023-04-25,17650,17660.150390625,17769.25,9.52714273497581,8.99583099885222,93.2008017993759,192.94399027452667,99.74318847515077,1,4987.159423757539,1013.2152486434115,20.316480035041913,EXPIRY,5,43273.824997395626,2023
NIFTY,2023-05-09,2023-05-16,18250,18265.94921875,18286.5,8.476491881717992,8.311538954566764,85.76714931316376,177.55486759196265,91.78771827879889,1,4589.385913939945,1115.9342247788593,24.31554560250176,EXPIRY,5,44389.759222174485,2023
NIFTY,2023-05-29,2023-06-05,18600,18598.650390625,18593.849609375,8.904758518582014,6.745479874344479,91.74156757430796,189.92308842932763,98.18152085501967,1,4909.076042750983,-200.92758538625333,-4.092981726835424,EXPIRY,5,44188.83163678823,2023
NIFTY,2023-06-07,2023-06-14,18750,18726.400390625,18755.900390625,7.043147435362107,6.739353194641624,73.06067218862223,151.24996085930997,78.18928867068773,1,3909.4644335343864,835.4033877210974,21.368742494629718,EXPIRY,5,45024.235024509326,2023
NIFTY,2023-06-27,2023-07-05,18800,18817.400390625,19398.5,7.056733935962216,8.126239109587393,73.55732855174678,152.2781372123714,78.72080866062463,1,3936.0404330312313,501.95645422536256,12.75282768980081,EXPIRY,5,45526.19147873469,2023
NIFTY,2023-08-07,2023-08-14,19600,19597.30078125,19434.55078125,9.548584665083045,8.97587256487332,103.65681027597664,214.58998428820834,110.9331740122317,1,5546.658700611585,1001.4995775034982,18.055907737627177,EXPIRY,5,46527.69105623819,2023
NIFTY,2023-08-28,2023-09-04,19300,19306.05078125,19528.80078125,7.5313703844634485,6.681377703429566,80.54341314918759,166.74070633840938,86.1972931892218,1,4309.86465946109,-636.4424649937291,-14.76711022924118,EXPIRY,5,45891.24859124446,2023
NIFTY,2023-09-06,2023-09-13,19600,19611.05078125,20070.0,6.581549500794916,6.936417946001942,71.49762165899396,148.0141388452851,76.51651718629113,1,3825.825859314556,93.50451063828658,2.444034675823929,EXPIRY,5,45984.75310188275,2023
NIFTY,2023-09-27,2023-10-05,19700,19716.44921875,19545.75,8.331785128447908,9.04484293856099,90.99747567261242,188.3826718462907,97.38519617367827,1,4869.259808683913,1766.969025216826,36.28824697473702,TARGET,5,47751.72212709958,2023
NIFTY,2023-10-09,2023-10-16,19500,19512.349609375,19731.75,9.319368207651817,9.29969297371116,100.729950122105,208.5308081206135,107.8008579985085,1,5390.042899925425,-223.93512505005688,-4.154607471735618,EXPIRY,5,47527.787002049525,2023
NIFTY,2023-10-18,2023-10-26,19650,19671.099609375,18857.25,9.503589888784955,10.768096460095865,103.55686714344797,214.38308234725588,110.8262152038079,1,5541.310760190395,-1730.167412528585,-31.22307135269089,EXPIRY,5,45797.61958952094,2023
NIFTY,2023-10-30,2023-11-06,19150,19140.900390625,19411.75,11.310604312009978,11.69199430289964,119.92528291466056,248.26892230138594,128.34363938672539,1,6417.1819693362695,-27.451610956092054,-0.42778295967398566,EXPIRY,5,45770.167978564845,2023
NIFTY,2023-11-08,2023-11-16,19450,19443.5,19765.19921875,10.923717354751357,11.62275642008668,117.65421161029059,243.56735803151665,125.91314642122606,1,6295.657321061303,171.88947124925136,2.7302863304553995,EXPIRY,5,45942.0574498141,2023
NIFTY,2023-11-20,2023-11-28,19700,19694.0,19889.69921875,11.334477210466268,6.9408496268559166,123.65110628971182,255.98210947533266,132.33100318562083,1,6616.5501592810415,-1434.4138205016748,-21.67918002540374,EXPIRY,5,44507.64362931243,2023
NIFTY,2023-12-20,2023-12-28,21150,21150.150390625,21778.69921875,11.637041455613149,11.406622628400678,136.33853415832937,282.24758050165264,145.90904634332327,1,7295.452317166163,-301.5710063413252,-4.133684838590886,EXPIRY,5,44206.0726229711,2023
NIFTY,2024-01-01,2024-01-03,21750,21741.900390625,21517.349609375,11.60432305735435,10.183052013286186,139.75903446002775,289.32868886341925,149.5696544033915,1,7478.482720169575,-3974.2470606420325,-53.14242486545341,STOP_LOSS,2,40231.82556232907,2024
NIFTY,2024-01-10,2024-01-17,21600,21618.69921875,21571.94921875,10.74413154637221,12.956207131537711,128.6658979714366,266.363714555837,137.6978165844004,1,6884.89082922002,3606.5528957170386,52.383588718800645,TARGET,5,43838.37845804611,2024
NIFTY,2024-02-21,2024-02-28,22050,22055.05078125,21951.150390625,11.585856207486273,9.274750529215837,141.5463827426907,293.0288513406654,151.48246859797473,1,7574.1234298987365,68.23681813885543,0.9009203344837454,EXPIRY,5,43906.61527618496,2024
