iteration,score,win_rate,profit_factor,total_return,max_drawdown,avg_trades_per_day,total_trades,avg_win,avg_loss,total_pnl
1,26,0.0,0.0,-0.32332622052792315,-0.07008852092083076,0.16666666666666666,5,0.0,-32.33262205279232,-161.66311026396158
1,26,0.0,0.0,-0.16747895287385703,-0.167478952873862,0.13333333333333333,4,0.0,-20.934869109232128,-83.73947643692851
1,26,18.181818181818183,0.18465092026010418,-0.43209337552838206,-0.4320933755283622,0.36666666666666664,11,24.46388958182892,-29.441607436427653,-216.04668776419103
1,26,0.0,0.0,-0.08013602642757456,-0.08013602642758633,0.13333333333333333,4,0.0,-10.01700330344682,-40.06801321378728
1,26,20.0,0.0035078252779111095,-0.18078440372866672,-0.18078440372867044,0.16666666666666666,5,0.3181962273955463,-22.677599522932226,-90.39220186433336
1,26,0.0,0.0,-0.2652335870731614,0.0,0.16666666666666666,5,0.0,-26.52335870731614,-132.6167935365807
1,26,16.666666666666664,0.009031605576772041,-0.2241614097047376,-0.2261997773763629,0.2,6,1.0214944540005888,-22.62043986127388,-112.08070485236881
1,26,0.0,0.0,-0.054860774643888235,-0.05486077464389382,0.03333333333333333,1,0.0,-27.43038732194412,-27.43038732194412
1,26,0.0,0.0,-0.15225247420991228,-0.1522524742099049,0.13333333333333333,4,0.0,-19.031559276239033,-76.12623710495613
1,26,25.0,0.09881552326537958,-0.20241851199552208,-0.1429175875403384,0.26666666666666666,8,5.548833701040108,-18.71782056664021,-101.20925599776103
1,26,0.0,0.0,-0.1471670809652524,-0.1471670809652569,0.16666666666666666,5,0.0,-14.716708096525242,-73.5835404826262
1,26,0.0,0.0,-0.23139249400432163,-0.14156756246172256,0.16666666666666666,5,0.0,-23.139249400432163,-115.69624700216082
1,26,23.076923076923077,0.13327992868242444,-0.21557535599421176,-0.17346383538992732,0.43333333333333335,13,5.525018788922822,-12.436273436387435,-107.78767799710587
1,26,0.0,0.0,-0.16546294391985583,-0.053061945367691384,0.16666666666666666,5,0.0,-16.546294391985583,-82.73147195992792
1,26,0.0,0.0,-0.15656299348498173,-0.15656299348498579,0.1,3,0.0,-26.09383224749696,-78.28149674249087
1,26,0.0,0.0,-0.3252319524628254,-0.09908001950155412,0.16666666666666666,5,0.0,-32.52319524628253,-162.61597623141267
1,26,0.0,0.0,-0.25119650002223237,-0.25119650002222627,0.16666666666666666,5,0.0,-25.119650002223235,-125.59825001111618
1,26,22.22222222222222,0.11811325888639208,-0.20758094309906067,-0.19010005426132323,0.3,9,6.95045648412302,-16.813054931110912,-103.79047154953034
1,26,0.0,0.0,-0.07459587399681072,-0.07459587399680459,0.06666666666666667,2,0.0,-18.64896849920268,-37.29793699840536
1,26,0.0,0.0,-0.11075267106436311,-0.008098452381628018,0.16666666666666666,5,0.0,-11.07526710643631,-55.37633553218156
1,26,0.0,0.0,-0.1883855873308562,0.0,0.16666666666666666,5,0.0,-18.83855873308562,-94.1927936654281
1,26,0.0,0.0,-0.3030807461355206,-0.2825202105727048,0.16666666666666666,5,0.0,-30.30807461355206,-151.5403730677603
1,26,0.0,0.0,-0.055846068609326734,-0.05584606860933127,0.03333333333333333,1,0.0,-27.923034304663368,-27.923034304663368
1,26,0.0,0.0,-0.20803770970572338,-0.05154407314361396,0.16666666666666666,5,0.0,-20.803770970572337,-104.01885485286168
1,26,0.0,0.0,-0.1781197524173793,0.0,0.16666666666666666,5,0.0,-17.81197524173793,-89.05987620868964
1,26,0.0,0.0,-0.18698363029925832,-0.12523297065618763,0.16666666666666666,5,0.0,-18.698363029925833,-93.49181514962916
1,26,0.0,0.0,-0.26990889506499494,-0.20345412359303439,0.16666666666666666,5,0.0,-26.990889506499496,-134.95444753249748
1,26,33.33333333333333,0.30793057678253594,-0.01783112605410924,-0.01783112605410861,0.1,3,3.9669061703356334,-6.441234598695127,-8.91556302705462
1,26,0.0,0.0,-0.1425581943817959,-0.14255819438179607,0.13333333333333333,4,0.0,-17.819774297724486,-71.27909719089794
1,26,0.0,0.0,-0.32945089326447474,-0.32945089326446764,0.13333333333333333,4,0.0,-41.181361658059345,-164.72544663223738
2,26,0.0,0.0,-0.1378759429021809,-0.011302078388264344,0.16666666666666666,5,0.0,-13.78759429021809,-68.93797145109045
2,26,0.0,0.0,-0.29209451363124866,0.0,0.2,6,0.0,-24.341209469270723,-146.04725681562434
2,26,0.0,0.0,-0.21097446263745406,-0.21097446263747405,0.16666666666666666,5,0.0,-21.097446263745404,-105.48723131872703
