index,entry_date,exit_date,strike,entry_spot,exit_spot,entry_vix,exit_vix,net_debit,lots,total_cost,pnl,pnl_pct,exit_reason,days_held,capital_after,year
NIFTY,2021-10-27,2021-10-28,18200,18210.94921875,17857.25,10.303051281893568,12.633814719243796,111.23068773913215,1,5561.534386956608,-2094.8792996058673,-37.667290244918014,STOP_LOSS,1,47905.12070039413,2021
NIFTY,2021-11-08,2021-11-11,18050,18068.55078125,17873.599609375,12.998816016005618,13.148571023739988,139.23656324874463,1,6961.828162437231,901.4135777729336,12.947943510535634,QUICK_PROFIT,3,48806.53427816706,2021
NIFTY,2021-11-17,2021-11-22,17900,17898.650390625,17416.55078125,12.86569419419279,14.327016066323095,136.51478430622683,1,6825.7392153113415,-2835.0816339613543,-41.53515897006092,STOP_LOSS,2,45971.45264420571,2021
NIFTY,2022-08-22,2022-08-25,17500,17490.69921875,17522.44921875,12.939757524270009,12.110693571137517,134.17125663442158,1,6708.562831721079,391.70729330181473,5.838915176431647,DELAYED_PROFIT,3,46363.159937507524,2022
NIFTY,2022-09-12,2022-09-15,17950,17936.349609375,17877.400390625,14.973601384694515,15.10724363745988,159.21592547937644,1,7960.796273968822,1075.711904035225,13.512616916887051,QUICK_PROFIT,3,47438.87184154275,2022
NIFTY,2022-11-23,2022-11-30,18250,18267.25,18758.349609375,10.060130400054103,9.682880592161675,108.94391053965552,1,5447.195526982776,-333.575559617546,-6.12380367044241,TIME_STOP,5,47105.296281925206,2022
NIFTY,2022-12-13,2022-12-15,18600,18608.0,18414.900390625,7.897929831867427,9.24045041080993,87.12426875496939,1,4356.21343774847,-1634.8341118514775,-37.52878813707644,STOP_LOSS,2,45470.462170073726,2022
NIFTY,2023-01-02,2023-01-04,18200,18197.44921875,18042.94921875,11.864322316611464,12.303991760589359,127.99105839717963,1,6399.552919858981,701.2935145431846,10.958476683065513,QUICK_PROFIT,2,46171.75568461691,2023
NIFTY,2023-01-11,2023-01-17,17900,17895.69921875,18053.30078125,13.436373437469019,12.86110202291242,142.54661709360576,1,7127.330854680288,1056.515072794879,14.823432422827679,QUICK_PROFIT,4,47228.27075741179,2023
NIFTY,2023-02-01,2023-02-06,17600,17616.30078125,17764.599609375,11.806916795868656,12.367958153416795,123.30406582880869,1,6165.203291440434,1186.1022981160063,19.238656732743127,QUICK_PROFIT,3,48414.373055527794,2023
NIFTY,2023-02-21,2023-02-22,17850,17826.69921875,17554.30078125,10.929713546053016,12.070028499036008,115.50635904059703,1,5775.317952029852,-2519.5504589186066,-43.6261774649664,STOP_LOSS,1,45894.822596609185,2023
NIFTY,2023-04-05,2023-04-11,17550,17557.05078125,17722.30078125,12.42097980189895,11.871576565278204,129.28067128680567,1,6464.033564340283,575.4296974905699,8.902022116113471,DELAYED_PROFIT,3,46470.25229409975,2023
NIFTY,2023-04-18,2023-04-21,17650,17660.150390625,17624.05078125,9.52714273497581,9.017126892474298,99.74318847515077,1,4987.159423757539,330.064653145849,6.618289593340576,DELAYED_PROFIT,3,46800.3169472456,2023
NIFTY,2023-05-09,2023-05-12,18250,18265.94921875,18314.80078125,8.476491881717992,8.32697660471368,91.78771827879889,1,4589.385913939945,513.3205886542569,11.184951500702542,QUICK_PROFIT,3,47313.637535899856,2023
NIFTY,2023-05-29,2023-06-01,18600,18598.650390625,18487.75,8.904758518582014,8.587445224003956,98.18152085501967,1,4909.076042750983,402.93642255583393,8.207989019661497,DELAYED_PROFIT,3,47716.57395845569,2023
NIFTY,2023-06-07,2023-06-09,18750,18726.400390625,18563.400390625,7.043147435362107,7.520655151723152,78.18928867068773,1,3909.4644335343864,-1676.7161013463412,-42.88863934824164,STOP_LOSS,2,46039.857857109346,2023
NIFTY,2023-06-27,2023-07-04,18800,18817.400390625,19389.0,7.056733935962216,8.132251228575239,78.72080866062463,1,3936.0404330312313,232.17449021540588,5.898681534544177,DELAYED_PROFIT,4,46272.03234732475,2023
NIFTY,2023-08-07,2023-08-10,19600,19597.30078125,19543.099609375,9.548584665083045,9.612572576222131,110.9331740122317,1,5546.658700611585,738.9034245920833,13.321595296833577,QUICK_PROFIT,3,47010.93577191683,2023
NIFTY,2023-08-28,2023-08-31,19300,19306.05078125,19253.80078125,7.5313703844634485,6.502239661601113,86.1972931892218,1,4309.86465946109,-121.05629097892319,-2.808818850336247,BREAKEVEN,3,46889.87948093791,2023
NIFTY,2023-09-06,2023-09-12,19600,19611.05078125,19993.19921875,6.581549500794916,6.883140403829406,76.51651718629113,1,3825.825859314556,-187.90850444304894,-4.911580175181184,BREAKEVEN,4,46701.970976494864,2023
NIFTY,2023-09-27,2023-09-28,19700,19716.44921875,19523.55078125,8.331785128447908,9.166314576779081,97.38519617367827,1,4869.259808683913,630.5175829867096,12.948941066201373,QUICK_PROFIT,1,47332.48855948157,2023
NIFTY,2023-10-09,2023-10-16,19500,19512.349609375,19731.75,9.319368207651817,9.29969297371116,107.8008579985085,1,5390.042899925425,-223.93512505005688,-4.154607471735618,BREAKEVEN,5,47108.55343443152,2023
NIFTY,2023-10-18,2023-10-23,19650,19671.099609375,19281.75,9.503589888784955,9.49929088927783,110.8262152038079,1,5541.310760190395,-2477.0996368875662,-44.70241327527451,STOP_LOSS,3,44631.45379754395,2023
NIFTY,2023-10-30,2023-11-02,19150,19140.900390625,19133.25,11.310604312009978,11.364428603478647,128.34363938672539,1,6417.1819693362695,858.0592345338459,13.371277901016033,QUICK_PROFIT,3,45489.5130320778,2023
NIFTY,2023-11-08,2023-11-13,19450,19443.5,19443.55078125,10.923717354751357,10.688063538647546,125.91314642122606,1,6295.657321061303,657.5575680606291,10.44462134018724,QUICK_PROFIT,3,46147.070600138424,2023
NIFTY,2023-11-20,2023-11-22,19700,19694.0,19811.849609375,11.334477210466268,10.030201053625717,132.33100318562083,1,6616.5501592810415,-260.44281432862704,-3.9362327505868544,BREAKEVEN,2,45886.6277858098,2023
NIFTY,2023-12-20,2023-12-28,21150,21150.150390625,21778.69921875,11.637041455613149,11.406622628400678,145.90904634332327,1,7295.452317166163,-301.5710063413252,-4.133684838590886,BREAKEVEN,5,45585.05677946847,2023
NIFTY,2024-01-01,2024-01-03,21750,21741.900390625,21517.349609375,11.60432305735435,10.183052013286186,149.5696544033915,1,7478.482720169575,-3974.2470606420325,-53.14242486545341,STOP_LOSS,2,41610.80971882644,2024
NIFTY,2024-01-10,2024-01-17,21600,21618.69921875,21571.94921875,10.74413154637221,12.956207131537711,137.6978165844004,1,6884.89082922002,3606.5528957170386,52.383588718800645,QUICK_PROFIT,5,45217.362614543476,2024
NIFTY,2024-02-21,2024-02-28,22050,22055.05078125,21951.150390625,11.585856207486273,9.274750529215837,151.48246859797473,1,7574.1234298987365,68.23681813885543,0.9009203344837454,TIME_STOP,5,45285.59943268233,2024
NIFTY,2024-03-13,2024-03-15,22000,21997.69921875,22023.349609375,11.032376940867358,11.342334134337237,143.87075710561277,1,7193.537855280639,796.3810640663922,11.07078436352127,QUICK_PROFIT,2,46081.98049674872,2024
NIFTY,2024-04-16,2024-04-19,22150,22147.900390625,22147.0,9.894564936632786,10.290010192486438,129.91384672660118,1,6495.692336330059,793.6319700547955,12.217819578923935,QUICK_PROFIT,2,46875.61246680352,2024
NIFTY,2024-05-08,2024-05-09,22300,22302.5,21957.5,10.314361842237837,11.228807157078153,136.3710199502027,1,6818.550997510136,-3029.9570030921395,-44.43696328147373,STOP_LOSS,1,43845.65546371138,2024
NIFTY,2024-05-29,2024-05-31,22700,22704.69921875,22530.69921875,10.569261982208108,11.100725557188595,142.2612412230317,1,7113.062061151585,886.8018237312767,12.467230232315814,QUICK_PROFIT,2,44732.45728744266,2024
NIFTY,2024-07-09,2024-07-10,24450,24433.19921875,24324.44921875,5.030973562616437,5.55513720779937,72.87164089090474,1,3643.5820445452373,509.1064328538813,13.97269024354916,QUICK_PROFIT,1,45241.56372029654,2024
