date,symbol,sector,dir,r1_pct,entry,net_ret_pct,stopped
2025-07-23,BIOCON,PHARMA,LONG,1.36,392.3500061035156,1.021,False
2025-07-23,MARUTI,AUTO,LONG,1.35,12661.0,-0.376,False
2025-07-23,BAJAJ-AUTO,AUTO,LONG,1.04,8375.5,0.157,False
2025-07-23,LODHA,REALTY,SHORT,-5.91,1358.5999755859375,1.681,False
2025-07-23,OBEROIRLTY,REALTY,SHORT,-3.46,1760.9000244140625,-0.276,False
2025-07-23,COLPAL,FMCG,SHORT,-2.79,2313.0,1.106,False
2025-07-24,MOTHERSON,AUTO,LONG,3.16,101.94999694824219,0.969,False
2025-07-24,DRREDDY,PHARMA,LONG,2.32,1276.9000244140625,-1.087,False
2025-07-24,APOLLOHOSP,PHARMA,LONG,1.1,7470.0,-1.419,False
2025-07-24,PERSISTENT,IT,SHORT,-8.51,5105.0,-2.1,True
2025-07-24,COFORGE,IT,SHORT,-7.99,1698.5999755859375,1.283,False
2025-07-24,LODHA,REALTY,SHORT,-1.76,1308.0999755859375,-1.537,False
2025-07-25,APLAPOLLO,METAL,SHORT,-4.63,1608.4000244140625,3.836,False
2025-07-25,BAJAJFINSV,FIN,SHORT,-4.37,1943.5,-2.1,True
2025-07-25,BAJFINANCE,FIN,SHORT,-4.04,918.2000122070312,0.412,False
2025-07-28,IDEA,TELECOM,LONG,3.19,7.440000057220459,-2.1,True
2025-07-28,MARICO,FMCG,LONG,1.77,706.2999877929688,-1.367,False
2025-07-28,GRASIM,CEMENT,LONG,1.76,2748.5,-0.748,False
2025-07-28,SAIL,METAL,SHORT,-3.69,125.8499984741211,0.075,False
2025-07-28,LODHA,REALTY,SHORT,-3.68,1229.0,-2.1,True
2025-07-28,APLAPOLLO,METAL,SHORT,-3.39,1497.5,-0.567,False
2025-07-29,LODHA,REALTY,LONG,3.39,1244.0,0.021,False
2025-07-29,OBEROIRLTY,REALTY,LONG,2.43,1666.800048828125,-0.238,False
2025-07-29,DLF,REALTY,LONG,1.92,800.0999755859375,-0.031,False
2025-07-29,BEL,INFRA,SHORT,-1.87,383.70001220703125,-1.182,False
2025-07-29,SHREECEM,CEMENT,SHORT,-1.06,30370.0,-0.215,False
2025-07-29,TCS,IT,SHORT,-1.03,3054.10009765625,-0.09,False
2025-07-30,GODFRYPHLP,FMCG,LONG,4.89,3129.5,-0.137,False
2025-07-30,POWERINDIA,ENERGY,LONG,4.02,20595.0,1.09,False
2025-07-30,GRASIM,CEMENT,LONG,1.52,2786.89990234375,-1.044,False
2025-07-30,MOTHERSON,AUTO,SHORT,-1.98,100.5199966430664,1.333,False
2025-07-30,BOSCHLTD,AUTO,SHORT,-1.67,39250.0,-2.1,True
2025-07-30,IDEA,TELECOM,SHORT,-1.25,7.119999885559082,1.304,False
2025-07-31,HINDUNILVR,FMCG,LONG,3.6,2525.10009765625,-0.322,False
2025-07-31,GODREJCP,FMCG,LONG,1.52,1234.5999755859375,1.957,False
2025-07-31,IOC,OIL & GAS,SHORT,-2.98,144.60000610351562,-0.888,False
2025-07-31,BPCL,OIL & GAS,SHORT,-2.87,326.8999938964844,-0.926,False
2025-07-31,PREMIERENE,REALTY,SHORT,-2.06,1043.0999755859375,0.677,False
2025-08-01,AMBUJACEM,CEMENT,LONG,2.69,605.75,0.115,False
2025-08-01,HINDUNILVR,FMCG,LONG,2.64,2591.699951171875,-2.1,True
2025-08-01,DABUR,FMCG,LONG,2.01,539.8499755859375,-1.258,False
2025-08-01,SUNPHARMA,PHARMA,SHORT,-3.98,1638.699951171875,0.431,False
2025-08-01,AUROPHARMA,PHARMA,SHORT,-3.21,1103.199951171875,1.976,False
2025-08-01,CIPLA,PHARMA,SHORT,-2.4,1517.300048828125,1.357,False
2025-08-04,UPL,CHEMICALS,LONG,6.97,711.5,-0.037,False
2025-08-04,SAIL,METAL,LONG,3.22,123.98999786376953,1.069,False
2025-08-04,JINDALSTEL,METAL,LONG,3.14,975.2000122070312,0.51,False
2025-08-04,LALPATHLAB,PHARMA,SHORT,-1.43,1562.4000244140625,0.71,False
2025-08-04,ALKEM,PHARMA,SHORT,-1.3,4835.5,-1.455,False
2025-08-04,GODREJCP,FMCG,SHORT,-1.27,1241.5999755859375,-0.76,False
2025-08-05,APLAPOLLO,METAL,LONG,2.12,1619.5,-1.15,False
2025-08-05,POWERINDIA,ENERGY,LONG,1.13,21400.0,-0.38,False
2025-08-05,DLF,REALTY,SHORT,-2.67,774.5999755859375,-1.088,False
2025-08-05,BPCL,OIL & GAS,SHORT,-2.03,311.3999938964844,-1.256,False
2025-08-05,IOC,OIL & GAS,SHORT,-1.81,139.80999755859375,-1.202,False
2025-08-06,GODFRYPHLP,FMCG,LONG,5.25,3466.666748046875,4.208,False
2025-08-06,ACC,CEMENT,LONG,1.32,1829.0,-0.045,False
2025-08-06,PGEL,ENERGY,SHORT,-3.56,759.9500122070312,1.038,False
2025-08-06,POWERINDIA,ENERGY,SHORT,-3.33,20625.0,0.894,False
2025-08-06,COFORGE,IT,SHORT,-2.29,1667.5999755859375,1.657,False
2025-08-07,BAJAJHLDNG,FIN,LONG,4.14,14171.0,-2.1,True
2025-08-07,COFORGE,IT,LONG,2.37,1673.800048828125,1.734,False
2025-08-07,PERSISTENT,IT,LONG,1.68,5124.5,0.885,False
2025-08-07,BHEL,INFRA,SHORT,-5.85,225.00999450683594,-1.224,False
2025-08-07,CONCOR,INFRA,SHORT,-2.82,537.5,-2.1,True
2025-08-07,IDEA,TELECOM,SHORT,-1.62,6.699999809265137,-0.399,False
2025-08-08,BPCL,OIL & GAS,LONG,2.16,316.79998779296875,0.626,False
2025-08-08,KALYANKJIL,CONSUMER DUR,SHORT,-9.11,543.5999755859375,-2.1,True
2025-08-08,COFORGE,IT,SHORT,-3.91,1637.4000244140625,1.885,False
2025-08-08,BHARTIARTL,TELECOM,SHORT,-2.87,1867.5,0.468,False
2025-08-11,INDIANB,BANK,LONG,2.74,665.4000244140625,1.147,False
2025-08-11,GRASIM,CEMENT,LONG,2.36,2755.60009765625,-0.165,False
2025-08-11,SBIN,BANK,LONG,2.09,819.3499755859375,0.547,False
2025-08-11,VOLTAS,CONSUMER DUR,SHORT,-4.48,1246.5,-0.148,False
2025-08-11,PIIND,CHEMICALS,SHORT,-2.55,3819.0,-2.1,True
2025-08-11,KALYANKJIL,CONSUMER DUR,SHORT,-1.42,522.5,-2.1,True
2025-08-12,POWERINDIA,ENERGY,LONG,3.57,21585.0,-2.1,True
2025-08-12,MARUTI,AUTO,LONG,2.23,12878.0,-0.543,False
2025-08-12,PERSISTENT,IT,LONG,1.94,5271.5,-0.878,False
2025-08-12,MUTHOOTFIN,FIN,SHORT,-1.55,2549.60009765625,0.261,False
2025-08-12,GODREJPROP,REALTY,SHORT,-1.21,1966.800048828125,0.795,False
2025-08-12,ATUL,CHEMICALS,SHORT,-1.12,6505.0,0.746,False
2025-08-13,APOLLOHOSP,PHARMA,LONG,6.13,7680.0,1.469,False
2025-08-13,HINDALCO,METAL,LONG,4.67,697.0999755859375,0.395,False
2025-08-13,ALKEM,PHARMA,LONG,2.72,5305.5,1.483,False
2025-08-13,OIL,OIL & GAS,SHORT,-1.88,415.5,2.018,False
2025-08-13,GAIL,OIL & GAS,SHORT,-1.05,172.63999938964844,-0.436,False
2025-08-14,MUTHOOTFIN,FIN,LONG,10.77,2786.0,-1.116,False
2025-08-14,INFY,IT,LONG,1.62,1449.699951171875,-0.203,False
2025-08-14,ICICIPRULI,FIN,LONG,1.6,629.9000244140625,-0.537,False
2025-08-14,NMDC,METAL,SHORT,-4.83,69.12999725341797,-0.505,False
2025-08-14,IDEA,TELECOM,SHORT,-2.51,6.21999979019165,0.865,False
2025-08-14,TATASTEEL,METAL,SHORT,-2.11,157.1199951171875,1.256,False
2025-08-18,ASHOKLEY,AUTO,LONG,7.94,131.5800018310547,0.067,False
2025-08-18,HEROMOTOCO,AUTO,LONG,7.46,5059.0,-1.671,False
2025-08-18,MARUTI,AUTO,LONG,7.4,13860.0,1.329,False
2025-08-19,MOTHERSON,AUTO,LONG,3.56,97.44999694824219,1.798,False
2025-08-19,BAJAJ-AUTO,AUTO,LONG,2.33,8782.0,-0.157,False
2025-08-19,BHARTIARTL,TELECOM,LONG,1.9,1926.699951171875,-0.972,False
2025-08-19,KALYANKJIL,CONSUMER DUR,SHORT,-2.47,507.54998779296875,-0.07,False
2025-08-19,BAJAJHLDNG,FIN,SHORT,-1.59,14292.0,3.224,False
2025-08-19,BAJFINANCE,FIN,SHORT,-1.39,892.7999877929688,-1.108,False
2025-08-20,GODFRYPHLP,FMCG,LONG,8.07,3530.333251953125,3.847,False
2025-08-20,PGEL,ENERGY,LONG,4.28,567.0999755859375,-2.1,True
2025-08-20,POWERINDIA,ENERGY,LONG,2.73,20300.0,-1.578,False
2025-08-20,AUROPHARMA,PHARMA,SHORT,-3.51,1049.800048828125,0.252,False
2025-08-20,MUTHOOTFIN,FIN,SHORT,-2.06,2686.300048828125,-0.011,False
2025-08-20,BAJAJHLDNG,FIN,SHORT,-1.91,13527.0,-2.1,True
2025-08-21,SIEMENS,INFRA,LONG,2.01,3220.60009765625,-0.848,False
2025-08-21,RELIANCE,OIL & GAS,LONG,1.31,1429.800048828125,-0.485,False
2025-08-21,GODREJPROP,REALTY,LONG,1.17,2063.300048828125,-0.512,False
2025-08-21,NESTLEIND,FMCG,SHORT,-1.54,1173.5,-0.654,False
2025-08-21,TATACONSUM,FMCG,SHORT,-1.43,1089.5,-0.017,False
2025-08-21,IDEA,TELECOM,SHORT,-1.18,6.710000038146973,1.986,False
2025-08-22,DIVISLAB,PHARMA,LONG,2.29,6166.0,-0.287,False
2025-08-22,IDEA,TELECOM,LONG,1.52,6.670000076293945,6.047,False
2025-08-22,BEL,INFRA,LONG,1.38,379.3999938964844,-1.339,False
